year,force,fpn_all,fpn_phone,fpn_speed,fpn_camera_speed,fpn_camera
2009,Avon and Somerset,113317,2094,1328,52837,57503
2009,Bedfordshire,25773,1249,620,13669,14123
2009,Cambridgeshire,44737,1964,2228,12173,12355
2009,Cheshire,65619,3776,6332,14711,17319
2009,City of London,13957,499,147,1443,2823
2009,Cleveland,25351,1420,2412,6275,6275
2009,Cumbria,33570,1081,1608,18758,18758
2009,Derbyshire,26308,1480,1524,9232,9232
2009,Devon and Cornwall,109293,2860,22649,16777,19565
2009,Dorset,45092,1475,1592,21458,21898
2009,Durham,17833,953,1188,2171,2171
2009,Dyfed-Powys,42903,1196,2743,8015,8015
2009,Essex,119324,7971,8354,22069,27320
2009,Gloucestershire,15046,1183,1465,2874,3114
2009,Greater Manchester,132040,6123,2731,39086,52610
2009,Gwent,56688,1265,535,14090,14796
2009,Hampshire,72119,4037,5533,23927,24723
2009,Hertfordshire,66511,3793,1810,27914,30663
2009,Humberside,66346,2672,5328,19421,19522
2009,Kent,68039,4597,5597,20271,20271
2009,Lancashire,83541,4827,4445,30265,30265
2009,Leicestershire,37317,1752,1862,11037,14711
2009,Lincolnshire,62387,1626,2756,15863,15863
2009,Merseyside,176171,6563,10460,24523,24863
2009,Metropolitan ,181708,7383,3603,40594,54048
2009,Norfolk,53487,2350,4910,11782,11817
2009,North Wales,68726,2757,6266,21382,21382
2009,North Yorkshire,45466,2273,7685,740,740
2009,Northamptonshire,29841,1543,1113,10472,12341
2009,Northumbria,54728,2280,1926,20419,21114
2009,Nottinghamshire,59250,2178,901,30005,38048
2009,South Wales,174702,3137,2271,23983,26694
2009,South Yorkshire,59508,3403,3548,6978,9138
2009,Staffordshire,81767,795,22006,20049,20285
2009,Suffolk,74909,1747,4926,30101,30101
2009,Surrey,55538,2605,1458,24943,28516
2009,Sussex,110924,3623,5221,24489,27516
2009,Thames Valley,133664,5629,8375,49406,50382
2009,Warwickshire,51592,1875,2402,29811,31412
2009,West Mercia,71290,3408,4020,35851,36628
2009,West Midlands,125740,6112,6480,34309,41754
2009,West Yorkshire,111373,4708,7683,15929,18947
2009,Wiltshire,45377,1256,2698,24647,25869
2010,Avon and Somerset,109342,2015,1376,57466,59982
2010,Bedfordshire,22479,1185,1249,9405,10739
2010,Cambridgeshire,44668,2226,1974,12120,12220
2010,Cheshire,60418,4165,4329,13220,15834
2010,City of London,14097,566,296,1892,3113
2010,Cleveland,24769,1481,2543,6103,6103
2010,Cumbria,28974,1080,1131,16584,16584
2010,Derbyshire,18522,1411,954,5402,5402
2010,Devon and Cornwall,94975,2937,19661,15436,18043
2010,Dorset,65161,1129,4357,32265,32589
2010,Durham,17721,1023,1020,2957,2957
2010,Dyfed-Powys,45777,1906,3622,7367,7367
2010,Essex,147713,7411,25694,17926,20243
2010,Gloucestershire,17693,1218,1639,4325,4719
2010,Greater Manchester,105874,6020,1617,41675,47000
2010,Gwent,49870,1864,503,12518,13128
2010,Hampshire,67253,1700,6176,24143,25099
2010,Hertfordshire,65715,3626,1703,26358,29607
2010,Humberside,50747,2489,3939,18298,18373
2010,Kent,64768,4877,7045,15828,15828
2010,Lancashire,76835,5187,3166,21577,21577
2010,Leicestershire,41885,1729,1805,13306,17639
2010,Lincolnshire,60869,1526,2395,16303,16303
2010,Merseyside,145302,6859,9756,19715,20038
2010,Metropolitan ,180584,7611,3665,20423,27990
2010,Norfolk,62070,2024,5444,12434,12484
2010,North Wales,42335,1885,3003,18279,18279
2010,North Yorkshire,60831,3290,8845,5465,5465
2010,Northamptonshire,28708,1620,883,8237,9950
2010,Northumbria,41033,2237,936,18488,20037
2010,Nottinghamshire,45328,2325,1181,16614,24620
2010,South Wales,102565,3566,1822,21180,23581
2010,South Yorkshire,61408,3712,3971,10900,13260
2010,Staffordshire,74009,980,20993,19726,20197
2010,Suffolk,57737,699,3578,19685,19685
2010,Surrey,56533,3388,2174,20767,24499
2010,Sussex,91065,4250,6310,24088,27649
2010,Thames Valley,129938,4183,12673,39431,40436
2010,Warwickshire,36505,2109,2105,17792,20077
2010,West Mercia,55919,2894,3388,28324,28809
2010,West Midlands,97460,5311,3320,29586,32918
2010,West Yorkshire,106987,5128,5881,19126,22295
2010,Wiltshire,51936,1886,4956,20932,21206
2011,Avon and Somerset,35544,1800,11705,26949,28076
2011,Bedfordshire,6200,1445,1644,12416,13996
2011,Cambridgeshire,19521,2383,6630,28197,28322
2011,Cheshire,23303,4003,5940,34506,38826
2011,City of London,2964,711,575,6333,7417
2011,Cleveland,7388,1257,2317,18663,18665
2011,Cumbria,10722,1380,5203,32471,32565
2011,Derbyshire,6599,1494,1354,6171,6466
2011,Devon and Cornwall,14847,2396,3528,10557,11762
2011,Dorset,20707,3449,8945,24495,25423
2011,Durham,5588,977,1078,6998,7018
2011,Dyfed-Powys,15367,2347,4021,0,23
2011,Essex,40715,7888,8864,17116,19848
2011,Gloucestershire,8926,1128,4985,5862,5973
2011,Greater Manchester,45504,6982,16626,97652,110277
2011,Gwent,17901,2270,809,0,70
2011,Hampshire,30807,5739,12103,56798,58157
2011,Hertfordshire,45177,3755,27594,21496,23437
2011,Humberside,20098,2892,5236,38578,38692
2011,Kent,24458,5010,7952,16128,16167
2011,Lancashire,37751,6171,8775,47087,47139
2011,Leicestershire,17863,1554,8611,35877,42903
2011,Lincolnshire,18798,1777,3631,14646,14927
2011,Merseyside,57981,6078,18069,30166,35278
2011,Metropolitan ,140302,33365,18774,48885,53552
2011,Norfolk,37863,1982,23348,14477,14643
2011,North Wales,8985,1566,1979,9704,9709
2011,North Yorkshire,19050,2310,6743,14408,14470
2011,Northamptonshire,9823,1513,2861,22919,23110
2011,Northumbria,17311,1916,9781,49956,53607
2011,Nottinghamshire,11074,2321,2899,20507,30762
2011,South Wales,21938,3381,3805,27122,29454
2011,South Yorkshire,24909,4108,6217,49744,51760
2011,Staffordshire,10114,4144,1384,14088,14205
2011,Suffolk,25241,2632,7089,46641,46828
2011,Surrey,18452,3846,3970,45934,49222
2011,Sussex,48261,5582,23432,56990,61273
2011,Thames Valley,58841,11477,19733,117473,117559
2011,Warwickshire,25604,1020,22186,11545,12695
2011,West Mercia,17164,2643,8243,75795,76262
2011,West Midlands,76063,6967,46358,31729,32555
2011,West Yorkshire,56589,6250,22468,80226,84660
2011,Wiltshire,14809,2032,5447,0,6
2012,Avon and Somerset,36980,1472,18480,76625,76783
2012,Bedfordshire,7145,1583,2339,12817,13402
2012,Cambridgeshire,23287,2543,8872,27705,27823
2012,Cheshire,21818,3616,6261,32157,35818
2012,City of London,2189,355,456,8272,8956
2012,Cleveland,6006,1168,1459,15569,15569
2012,Cumbria,9294,1202,4651,34121,34195
2012,Derbyshire,4810,819,1267,8748,8921
2012,Devon and Cornwall,11986,2530,3227,11905,12942
2012,Dorset,15224,2554,6558,20707,21857
2012,Durham,3599,655,928,7215,7233
2012,Dyfed-Powys,14514,2299,4598,0,5
2012,Essex,34820,6190,7150,21673,26790
2012,Gloucestershire,9676,930,6495,6000,6074
2012,Greater Manchester,66377,8426,21685,96786,106138
2012,Gwent,17903,1429,651,0,177
2012,Hampshire,37264,5108,14905,73278,74086
2012,Hertfordshire,43490,2782,26419,22911,24032
2012,Humberside,18126,2762,6255,42036,42043
2012,Kent,18258,3160,5958,18800,18810
2012,Lancashire,35272,4963,12225,40635,40772
2012,Leicestershire,14256,1316,5896,27863,33629
2012,Lincolnshire,15584,1474,2678,19504,19631
2012,Merseyside,49272,4962,14534,31933,38333
2012,Metropolitan ,130200,27789,15517,62448,64136
2012,Norfolk,16270,1634,9074,26447,26475
2012,North Wales,13226,1876,4018,10216,10236
2012,North Yorkshire,14130,1621,4346,16065,16121
2012,Northamptonshire,7804,1223,1951,19489,19506
2012,Northumbria,37096,1622,10036,63900,66602
2012,Nottinghamshire,15707,3297,3274,20921,24356
2012,South Wales,15122,2205,4790,37582,41203
2012,South Yorkshire,17307,2816,3970,41553,43772
2012,Staffordshire,10883,3802,2018,17905,18003
2012,Suffolk,23777,2786,7309,35338,35498
2012,Surrey,16336,2817,4033,47053,50266
2012,Sussex,42332,4929,20327,47703,49822
2012,Thames Valley,61054,11393,23454,128874,130295
2012,Warwickshire,24705,1045,20765,15000,15912
2012,West Mercia,16895,2285,8498,75079,75790
2012,West Midlands,70806,4802,44866,29841,31550
2012,West Yorkshire,59787,4755,29026,79288,82039
2012,Wiltshire,11258,1401,3819,0,4
