force,officers,roads_officers,year
Avon and Somerset,3302,157,2010
Bedfordshire,1246,57,2010
Cambridgeshire,1471,101,2010
Cheshire,2155,90,2010
City of London,852,30,2010
Cleveland,1724,115,2010
Cumbria,1238,86,2010
Derbyshire,2074,88,2010
Devon and Cornwall,3556,239,2010
Dorset,1486,76,2010
Durham,1507,96,2010
Dyfed-Powys,1195,84,2010
Essex,3606,257,2010
Gloucestershire,1309,65,2010
Greater Manchester,8148,310,2010
Gwent,1437,63,2010
Hampshire,3748,181,2010
Hertfordshire,2130,139,2010
Humberside,2058,116,2010
Kent,3787,138,2010
Lancashire,3649,171,2010
Leicestershire,2317,86,2010
Lincolnshire,1206,84,2010
Merseyside,4516,164,2010
Metropolitan ,33367,298,2010
Norfolk,1662,102,2010
North Wales,1590,88,2010
North Yorkshire,1486,99,2010
Northamptonshire,1343,68,2010
Northumbria,4187,189,2010
Nottinghamshire,2409,47,2010
South Wales,3148,143,2010
South Yorkshire,2953,130,2010
Staffordshire,2161,67,2010
Suffolk,1246,67,2010
Surrey,1890,100,2010
Sussex,3213,159,2010
Thames Valley,4434,228,2010
Warwickshire,973,10,2010
West Mercia,2391,101,2010
West Midlands,8626,351,2010
West Yorkshire,5758,315,2010
Wiltshire,1181,83,2010
Avon and Somerset,3080,127,2011
Bedfordshire,1168.5,57.5,2011
Cambridgeshire,1370.4,83.9,2011
Cheshire,1989.9,108.6,2011
City of London,885.6,41,2011
Cleveland,1504,104.5,2011
Cumbria,1164.3,91.2,2011
Derbyshire,1917,89.4,2011
Devon and Cornwall,3158.3,118.9,2011
Dorset,1331.8,52,2011
Durham,1370,93,2011
Dyfed-Powys,1163,89.2,2011
Essex,3415.3,48,2011
Gloucestershire,1184,59,2011
Greater Manchester,7607.8,335,2011
Gwent,1391,76,2011
Hampshire,3347.6,160,2011
Hertfordshire,1960,125.7,2011
Humberside,2391.6,107,2011
Kent,3480.8,125.9,2011
Lancashire,3221.3,159,2011
Leicestershire,2240.4,73.6,2011
Lincolnshire,1097.6,48,2011
Merseyside,3994.6,154,2011
Metropolitan,31957,661.5,2011
Norfolk,1574.2,106,2011
North Wales,1479.2,69,2011
