year,force,million_km
2010,Avon and Somerset,15588
2010,Bedfordshire,4811
2010,Cambridgeshire,8849
2010,Cheshire,11722
2010,Cleveland,4017
2010,Cumbria,5413
2010,Derbyshire,9231
2010,Devon and Cornwall,14631
2010,Dorset,5447
2010,Durham,4583
2010,Dyfed-Powys,5086
2010,Essex,15744
2010,Gloucestershire,6188
2010,Greater Manchester,35021
2010,Gwent,5179
2010,Hampshire,17562
2010,Hertfordshire,11045
2010,Humberside,6955
2010,Kent,15429
2010,Lancashire,12128
2010,Leicestershire,9227
2010,Lincolnshire,5832
2010,City of London,166
2010,Merseyside,15127
2010,Metropolitan,29538
2010,Norfolk,8000
2010,North Wales,6400
2010,North Yorkshire,9036
2010,Northamptonshire,8241
2010,Northumbria,9595
2010,Nottinghamshire,8323
2010,South Wales,10311
2010,South Yorkshire,19438
2010,Staffordshire,10310
2010,Suffolk,5801
2010,Surrey,13362
2010,Sussex,12500
2010,Thames Valley,24052
2010,Warwickshire,8756
2010,West Mercia,12491
2010,West Midlands,31699
2010,West Yorkshire,30477
2010,Wiltshire,7313
2011,Avon and Somerset,15577
2011,Bedfordshire,4813
2011,Cambridgeshire,8885
2011,Cheshire,11790
2011,Cleveland,4043
2011,Cumbria,5368
2011,Derbyshire,9250
2011,Devon and Cornwall,14585
2011,Dorset,5385
2011,Durham,4598
2011,Dyfed-Powys,5039
2011,Essex,15920
2011,Gloucestershire,6185
2011,Greater Manchester,35375
2011,Gwent,5232
2011,Hampshire,17599
2011,Hertfordshire,11366
2011,Humberside,6950
2011,Kent,15706
2011,Lancashire,12194
2011,Leicestershire,9227
2011,Lincolnshire,5830
2011,City of London,162
2011,Merseyside,15277
2011,Metropolitan,28941
2011,Norfolk,7954
2011,North Wales,6302
2011,North Yorkshire,9030
2011,Northamptonshire,8116
2011,Northumbria,9670
2011,Nottinghamshire,8353
2011,South Wales,10359
2011,South Yorkshire,19518
2011,Staffordshire,10466
2011,Suffolk,5793
