ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,3741,1659,612,49,727,5236,6012
E06000047,County Durham,688,346,139,14,149,1010,1173
E06000005,Darlington,162,57,25,2,28,214,244
E08000020,Gateshead,364,173,46,6,71,506,583
E06000001,Hartlepool,100,26,16,0,27,115,142
E06000002,Middlesbrough,218,53,36,0,30,277,307
E08000021,Newcastle upon Tyne,489,228,53,3,85,682,770
E08000022,North Tyneside,282,110,33,4,36,385,425
E06000048,Northumberland,461,281,113,12,116,727,855
E06000003,Redcar and Cleveland,153,45,29,2,34,191,227
E08000023,South Tyneside,205,80,27,1,31,280,312
E06000004,Stockton-on-Tees,212,63,45,0,40,280,320
E08000024,Sunderland,407,197,50,5,80,569,654
E12000002,North West,11623,4473,1244,181,2444,14721,17346
E06000008,Blackburn with Darwen,261,110,39,1,56,353,410
E06000009,Blackpool,367,102,30,4,58,437,499
E08000001,Bolton,410,141,28,7,78,494,579
E08000002,Bury,230,93,23,5,50,291,346
E06000049,Cheshire East,696,345,70,11,213,887,1111
E06000050,Cheshire West and Chester,626,268,55,15,162,772,949
E10000006,Cumbria,801,359,124,25,167,1092,1284
E06000006,Halton,215,66,22,4,35,264,303
E08000011,Knowsley,199,89,41,3,40,286,329
E10000017,Lancashire,2293,926,305,39,571,2920,3530
E08000012,Liverpool,946,298,90,10,202,1122,1334
E08000003,Manchester,991,366,68,11,151,1263,1425
E08000004,Oldham,310,99,24,9,60,364,433
E08000005,Rochdale,271,112,21,2,41,361,404
E08000006,Salford,350,115,32,4,67,426,497
E08000014,Sefton,371,147,39,3,66,488,557
E08000013,St. Helens,215,87,25,2,40,285,327
E08000007,Stockport,333,121,25,5,49,425,479
E08000008,Tameside,260,78,22,5,48,307,360
E08000009,Trafford,284,103,25,0,47,365,412
E06000007,Warrington,429,175,51,8,89,558,655
E08000010,Wigan,343,129,37,5,56,448,509
E08000015,Wirral,422,144,48,3,98,513,614
E12000003,Yorkshire and The Humber,9163,3590,1038,161,1965,11665,13791
E08000016,Barnsley,348,176,48,6,55,511,572
E08000032,Bradford,965,383,91,10,177,1252,1439
E08000033,Calderdale,316,114,47,3,65,409,477
E08000017,Doncaster,636,241,68,15,115,815,945
E06000011,East Riding of Yorkshire,514,182,96,17,153,622,792
E06000010,"Kingston upon Hull, City of",521,181,24,3,114,609,726
E08000034,Kirklees,716,293,79,9,117,962,1088
E08000035,Leeds,1391,458,105,19,265,1670,1954
E06000012,North East Lincolnshire,296,106,44,1,66,379,446
E06000013,North Lincolnshire,312,120,70,5,87,410,502
E10000023,North Yorkshire,1044,437,173,43,375,1236,1654
E08000018,Rotherham,407,191,49,5,45,597,647
E08000019,Sheffield,859,374,62,5,142,1148,1295
E08000036,Wakefield,529,224,50,16,133,654,803
E06000014,York,309,110,32,4,56,391,451
E12000004,East Midlands,7696,3276,1098,166,1669,10389,12224
E06000015,Derby,540,201,57,1,83,714,798
E10000007,Derbyshire,1241,592,189,29,240,1753,2022
E06000016,Leicester,682,254,41,4,78,895,977
E10000018,Leicestershire,996,449,121,34,171,1361,1566
E10000019,Lincolnshire,1388,696,272,42,359,2033,2434
E10000021,Northamptonshire,853,370,106,24,251,1054,1329
E06000018,Nottingham,646,207,53,6,122,824,952
E10000024,Nottinghamshire,1290,483,249,18,353,1681,2052
E06000017,Rutland,60,24,10,8,12,74,94
E12000005,West Midlands,8948,3667,1134,145,1506,12098,13749
E08000025,Birmingham,1959,743,174,28,346,2502,2876
E08000026,Coventry,409,158,35,2,82,518,602
E08000027,Dudley,355,160,40,3,85,467,555
E06000019,"Herefordshire, County of ",297,131,47,7,48,420,475
E08000028,Sandwell,444,201,53,6,79,613,698
E06000051,Shropshire,453,197,58,18,82,608,708
E08000029,Solihull,284,104,28,3,57,356,416
E10000028,Staffordshire,1552,686,275,29,157,2327,2513
E06000021,Stoke-on-Trent,448,215,68,2,42,687,731
E06000020,Telford and Wrekin,213,73,40,2,31,293,326
E08000030,Walsall,373,143,39,5,60,490,555
E10000031,Warwickshire,981,408,117,23,240,1243,1506
E08000031,Wolverhampton,341,137,36,3,78,433,514
E10000034,Worcestershire,839,311,124,14,119,1141,1274
E12000006,East of England,9222,4097,1159,186,2115,12177,14478
E06000055,Bedford,267,114,27,1,52,355,408
E10000003,Cambridgeshire,1160,541,142,30,276,1537,1843
E06000056,Central Bedfordshire,440,176,70,12,116,558,686
E10000012,Essex,2049,896,207,44,561,2547,3152
E10000015,Hertfordshire,1699,764,239,27,341,2334,2702
E06000032,Luton,348,144,24,3,57,456,516
E10000020,Norfolk,1121,494,181,36,256,1504,1796
E06000031,Peterborough,485,182,41,6,79,623,708
E06000033,Southend-on-Sea,309,102,24,4,55,376,435
