ONS Code,Region/Local Authority,Poor or defective road surface ,"Deposit on road (eg. oil, mud, chippings)",Slippery road (due to weather),Inadequate or masked signs or road markings,Defective traffic signals,"Traffic calming (eg. road humps, chicane)",Temporary road layout (eg. contraflow),"Road layout (eg. bend, hill, narrow road)",Animal or object in carriageway ,Slippery inspection cover or road marking,"Tyres illegal, defective or under inflated",Defective lights or indicators,Defective brakes,Defective steering or suspension,Defective or missing mirrors,Overloaded or poorly loaded vehicle or trailer,Disobeyed automatic traffic signal,Disobeyed 'Give Way' or 'Stop' sign or markings,Disobeyed double white lines,Disobeyed pedestrian crossing facility,Illegal turn or direction of travel,Exceeding speed limit,Travelling too fast for conditions,Following too close,Vehicle travelling along pavement,Cyclist entering road from pavement,Junction overshoot,Junction restart (moving off at junction),Poor turn or manoeuvre,Failed to signal or misleading signal,Driver/Rider failed to look properly,Driver/Rider failed to judge other person’s path or speed,"Too close to cyclist, horse rider or pedestrian",Sudden braking,Swerved,Loss of control,Driver/Rider impaired by alcohol,Driver/Rider impaired by drugs (illicit or medicinal),Fatigue,"Uncorrected, defective eyesight","Driver/Rider illness or disability, mental or physical",Not displaying lights at night or in poor visibility,Rider wearing dark clothing,Driver using mobile phone,Distraction in vehicle,Distraction outside vehicle,Aggressive driving,"Driver/Rider careless, reckless or in a hurry","Driver/Rider nervous, uncertain or panic",Driving too slow for conditions or slow veh (eg tractor),Learner or inexperienced driver/rider,Inexperience of driving on the left,Unfamiliar with model of vehicle,Stationary or parked vehicle(s),Vegetation,"Road layout (eg. bend, winding road, hill crest)","Buildings, road signs, street furniture",Dazzling headlights,Dazzling sun,"Rain, sleet, snow, or fog",Spray from other vehicles,"Visor or windscreen dirty, scratched or frosted etc.",Vehicle blind spot,Crossing road masked by stationary or parked vehicle,Pedestrian failed to look properly,Pedestrian failed to judge vehicle’s path or speed,Pedestrian wrong use of pedestrian crossing facility,Dangerous action in carriageway (eg. playing),Pedestrian impaired by alcohol,Pedestrian impaired by drugs (illicit or medicinal),"Pedestrian careless, reckless or in a hurry",Pedestrian wearing dark clothing at night,"Pedestrian disability or illness, mental or physical",Stolen vehicle,Vehicle in course of crime,Emergency vehicle on a call,Vehicle door opened or closed negligently,Other
E12000001,North East,36,67,628,21,6,6,10,79,39,0,20,8,31,4,0,9,62,107,10,14,21,178,339,228,14,53,133,66,530,76,1633,766,48,302,113,525,231,28,52,4,52,22,10,11,108,72,155,711,91,6,205,14,34,120,12,44,14,8,139,135,11,9,51,137,471,117,28,60,122,13,163,45,26,33,14,20,6,121
E06000047,County Durham,11,23,144,4,1,0,2,13,19,0,6,3,6,2,0,2,7,35,2,1,3,61,124,54,3,10,27,1,119,11,321,148,4,52,24,124,64,8,12,2,11,5,2,2,30,20,34,102,23,1,47,4,7,14,2,14,3,1,28,29,2,2,10,28,95,19,2,17,20,2,18,10,8,4,3,4,0,28
E06000005,Darlington,0,1,25,1,0,0,0,3,1,0,2,0,2,0,0,0,5,7,1,0,1,12,23,11,1,2,7,1,24,2,62,22,1,10,4,18,9,0,2,0,2,1,0,0,5,2,9,22,6,1,10,0,1,9,1,2,0,0,7,3,0,1,2,10,24,5,2,1,7,1,6,2,2,2,1,0,0,6
E08000020,Gateshead,1,4,50,2,0,1,0,8,5,0,2,1,8,0,0,3,8,8,2,1,2,15,29,39,2,4,4,4,42,6,144,63,3,38,10,50,18,3,7,0,1,4,1,1,10,4,16,70,10,0,26,1,5,6,1,2,3,0,18,10,2,1,4,11,34,5,0,5,8,1,12,5,2,5,1,1,0,10
E06000001,Hartlepool,0,2,16,0,0,0,0,1,1,0,1,0,0,1,0,0,2,3,0,0,0,3,5,6,0,2,3,4,12,3,35,24,1,7,6,8,5,1,3,0,2,1,0,1,0,3,2,13,2,0,3,2,0,5,0,0,0,0,7,3,1,0,2,9,14,5,1,2,1,0,5,1,0,1,1,0,0,5
E06000002,Middlesbrough,1,4,34,0,1,0,3,3,0,0,0,0,2,0,0,0,5,8,0,1,1,9,16,14,1,3,11,4,22,4,104,65,4,14,6,20,8,0,1,0,2,2,0,0,2,8,9,34,3,0,12,0,2,10,1,1,1,1,6,9,1,0,6,10,30,8,4,3,12,3,17,3,1,1,1,2,0,6
E08000021,Newcastle upon Tyne,1,4,47,2,0,1,0,1,0,0,1,0,2,0,0,0,12,18,0,2,7,10,16,15,1,7,22,13,52,5,199,82,5,31,4,35,26,2,6,1,2,0,0,1,16,5,19,97,13,1,13,1,2,18,0,1,0,3,15,13,2,1,7,21,92,24,11,9,28,2,30,4,5,7,4,7,2,11
E08000022,North Tyneside,1,2,30,4,2,0,1,4,2,0,1,0,3,0,0,2,3,1,0,4,0,9,17,15,0,3,6,3,34,6,133,65,3,21,8,28,14,1,0,0,5,1,1,1,7,7,10,50,3,0,18,1,4,10,0,3,0,0,7,4,0,0,2,9,36,6,0,7,5,0,11,3,1,0,0,0,1,11
E06000048,Northumberland,15,16,136,4,0,3,1,25,11,0,3,2,1,1,0,1,2,6,3,2,1,19,55,22,5,9,13,17,85,16,216,84,6,59,20,109,40,4,7,0,10,3,0,2,12,7,17,114,10,1,34,3,8,11,4,9,2,1,15,29,2,1,5,11,44,16,5,7,8,2,14,6,3,4,0,2,0,8
E06000003,Redcar and Cleveland,1,4,31,1,0,0,0,10,0,0,1,0,1,0,0,1,1,1,2,0,0,6,11,13,0,2,3,6,17,1,72,46,3,13,10,38,9,2,1,1,5,2,3,0,7,3,7,34,7,0,8,0,1,10,2,2,1,0,5,13,1,1,4,5,19,5,0,2,7,0,8,5,2,4,2,0,1,9
E08000023,South Tyneside,3,2,21,0,1,0,3,0,0,0,0,0,1,0,0,0,4,4,0,0,2,10,8,2,0,2,5,0,33,7,87,36,5,14,1,15,9,2,3,0,2,0,1,1,2,6,4,39,3,0,2,1,1,7,0,1,1,0,4,2,0,0,1,7,20,5,1,2,7,0,9,0,0,3,0,1,1,3
E06000004,Stockton-on-Tees,0,1,41,1,1,1,0,4,0,0,0,2,2,0,0,0,5,1,0,1,0,9,18,19,1,4,4,6,31,9,93,73,9,12,10,31,7,0,7,0,4,3,2,1,5,4,7,40,3,0,12,0,1,9,1,4,0,1,9,8,0,1,2,6,22,8,1,2,6,0,10,1,1,0,1,0,1,11
E08000024,Sunderland,2,4,53,2,0,0,0,7,0,0,3,0,3,0,0,0,8,15,0,2,4,15,17,18,0,5,28,7,59,6,167,58,4,31,10,49,22,5,3,0,6,0,0,1,12,3,21,96,8,2,20,1,2,11,0,5,3,1,18,12,0,1,6,10,41,11,1,3,13,2,23,5,1,2,0,3,0,13
E12000002,North West,107,171,1433,89,24,20,41,304,98,0,69,21,83,24,1,25,343,441,30,51,115,574,1045,853,41,134,408,301,1990,285,5443,3100,234,894,431,1721,589,76,157,30,224,34,42,39,289,221,508,1611,244,11,613,36,103,531,44,176,50,36,428,271,31,27,194,468,1550,472,133,180,283,20,602,130,77,149,68,90,45,426
