Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2007,England,South West,Avon and Somerset,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,32,23,55
2007,England,South West,Avon and Somerset,4b,Use of hand-held mobile phone while driving,Careless driving,1550,415,1965
2007,England,South West,Avon and Somerset,7,Driving licence related offences,"Licence, insurance and record keeping offences",227,0,227
2007,England,South West,Avon and Somerset,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",289,,289
2007,England,South West,Avon and Somerset,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,10362,10362
2007,England,South West,Avon and Somerset,13,Vehicle test offences,Vehicle test and condition offences,,721,721
2007,England,South West,Avon and Somerset,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,167,88,255
2007,England,South West,Avon and Somerset,16,Speed limit offences,Speed limit offences,57746,,57746
2007,England,South West,Avon and Somerset,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,72,21,93
2007,England,South West,Avon and Somerset,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,5806,899,6705
2007,England,South West,Avon and Somerset,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,224,644,868
2007,England,South West,Avon and Somerset,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",5,12834,12839
2007,England,South West,Avon and Somerset,21,Lighting offences,Lighting and noise offences,,378,378
2007,England,South West,Avon and Somerset,22,Noise offences,Lighting and noise offences,,30,30
2007,England,South West,Avon and Somerset,23,Load offences,Other offences,0,79,79
2007,England,South West,Avon and Somerset,24,Offences peculiar to motor cycles,Other offences,2,47,49
2007,England,South West,Avon and Somerset,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,141,141
2007,England,South West,Avon and Somerset,25b,Seat belt offences,Miscellaneous motoring offences,,2544,2544
2007,England,East of England,Bedfordshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,29,14,43
2007,England,East of England,Bedfordshire,4b,Use of hand-held mobile phone while driving,Careless driving,936,447,1383
2007,England,East of England,Bedfordshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",34,0,34
2007,England,East of England,Bedfordshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",9,,9
2007,England,East of England,Bedfordshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,495,495
2007,England,East of England,Bedfordshire,13,Vehicle test offences,Vehicle test and condition offences,,4,4
2007,England,East of England,Bedfordshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,87,71,158
2007,England,East of England,Bedfordshire,16,Speed limit offences,Speed limit offences,30029,,30029
2007,England,East of England,Bedfordshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,28,22,50
2007,England,East of England,Bedfordshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,2253,445,2698
2007,England,East of England,Bedfordshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,86,17,103
2007,England,East of England,Bedfordshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,795,795
2007,England,East of England,Bedfordshire,21,Lighting offences,Lighting and noise offences,,202,202
2007,England,East of England,Bedfordshire,22,Noise offences,Lighting and noise offences,,10,10
2007,England,East of England,Bedfordshire,23,Load offences,Other offences,0,18,18
2007,England,East of England,Bedfordshire,24,Offences peculiar to motor cycles,Other offences,2,16,18
2007,England,East of England,Bedfordshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,5,5
2007,England,East of England,Bedfordshire,25b,Seat belt offences,Miscellaneous motoring offences,,3759,3759
2007,England,East of England,Cambridgeshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,21,40,61
2007,England,East of England,Cambridgeshire,4b,Use of hand-held mobile phone while driving,Careless driving,1668,521,2189
2007,England,East of England,Cambridgeshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",115,0,115
2007,England,East of England,Cambridgeshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",193,,193
2007,England,East of England,Cambridgeshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1138,1138
2007,England,East of England,Cambridgeshire,13,Vehicle test offences,Vehicle test and condition offences,,311,311
2007,England,East of England,Cambridgeshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,215,75,290
2007,England,East of England,Cambridgeshire,16,Speed limit offences,Speed limit offences,25371,,25371
2007,England,East of England,Cambridgeshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,10,7,17
2007,England,East of England,Cambridgeshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,366,975,1341
2007,England,East of England,Cambridgeshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,141,5,146
2007,England,East of England,Cambridgeshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",13,7185,7198
2007,England,East of England,Cambridgeshire,21,Lighting offences,Lighting and noise offences,,295,295
2007,England,East of England,Cambridgeshire,22,Noise offences,Lighting and noise offences,,53,53
2007,England,East of England,Cambridgeshire,23,Load offences,Other offences,0,3,3
2007,England,East of England,Cambridgeshire,24,Offences peculiar to motor cycles,Other offences,0,20,20
2007,England,East of England,Cambridgeshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,2,2
2007,England,East of England,Cambridgeshire,25b,Seat belt offences,Miscellaneous motoring offences,,4341,4341
2007,England,North West,Cheshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,100,62,162
2007,England,North West,Cheshire,4b,Use of hand-held mobile phone while driving,Careless driving,2889,1166,4055
2007,England,North West,Cheshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",78,0,78
2007,England,North West,Cheshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",137,,137
2007,England,North West,Cheshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1630,1630
2007,England,North West,Cheshire,13,Vehicle test offences,Vehicle test and condition offences,,81,81
2007,England,North West,Cheshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,149,90,239
2007,England,North West,Cheshire,16,Speed limit offences,Speed limit offences,26992,,26992
