Year,Country,Region,Police force,Offence,Total FPNS,Camera detected FPNS
2009,England,South West,Avon and Somerset,Speed limit offences,54165,52837
2009,England,South West,Avon and Somerset,Neglect of traffic directions,6141,4666
2009,England,East of England,Bedfordshire,Speed limit offences,14289,13669
2009,England,East of England,Bedfordshire,Neglect of traffic directions,1192,454
2009,England,East of England,Cambridgeshire,Speed limit offences,14401,12173
2009,England,East of England,Cambridgeshire,Neglect of traffic directions,1413,182
2009,England,North West,Cheshire,Speed limit offences,21043,14711
2009,England,North West,Cheshire,Neglect of traffic directions,4521,2608
2009,England,North East,Cleveland,Speed limit offences,8687,6275
2009,England,North East,Cleveland,Neglect of traffic directions,1342,0
2009,England,North West,Cumbria,Speed limit offences,20366,18758
2009,England,North West,Cumbria,Neglect of traffic directions,757,0
2009,England,East Midlands,Derbyshire,Speed limit offences,10756,9232
2009,England,East Midlands,Derbyshire,Neglect of traffic directions,1203,0
2009,England,South West,Devon and Cornwall,Speed limit offences,39426,16777
2009,England,South West,Devon and Cornwall,Neglect of traffic directions,7411,2788
2009,England,South West,Dorset,Speed limit offences,23050,21458
2009,England,South West,Dorset,Neglect of traffic directions,1011,440
2009,England,North East,Durham,Speed limit offences,3359,2171
2009,England,North East,Durham,Neglect of traffic directions,444,0
2009,England,East of England,Essex,Speed limit offences,30423,22069
2009,England,East of England,Essex,Neglect of traffic directions,6456,5251
2009,England,South West,Gloucestershire,Speed limit offences,4339,2874
2009,England,South West,Gloucestershire,Neglect of traffic directions,452,240
2009,England,North West,Greater Manchester,Speed limit offences,41817,39086
2009,England,North West,Greater Manchester,Neglect of traffic directions,16871,13524
2009,England,South East,Hampshire,Speed limit offences,29460,23927
2009,England,South East,Hampshire,Neglect of traffic directions,2534,796
2009,England,East of England,Hertfordshire,Speed limit offences,29724,27914
2009,England,East of England,Hertfordshire,Neglect of traffic directions,3309,2749
2009,England,Yorkshire & The Humber,Humberside,Speed limit offences,24749,19421
2009,England,Yorkshire & The Humber,Humberside,Neglect of traffic directions,3080,101
2009,England,South East,Kent,Speed limit offences,25868,20271
2009,England,South East,Kent,Neglect of traffic directions,1749,0
2009,England,North West,Lancashire,Speed limit offences,34710,30265
2009,England,North West,Lancashire,Neglect of traffic directions,1552,0
2009,England,East Midlands,Leicestershire,Speed limit offences,12899,11037
2009,England,East Midlands,Leicestershire,Neglect of traffic directions,5114,3674
2009,England,East Midlands,Lincolnshire,Speed limit offences,18619,15863
2009,England,East Midlands,Lincolnshire,Neglect of traffic directions,1245,0
2009,England,London,"London, City of",Speed limit offences,1590,1443
2009,England,London,"London, City of",Neglect of traffic directions,1526,1380
2009,England,North West,Merseyside,Speed limit offences,34983,24523
2009,England,North West,Merseyside,Neglect of traffic directions,10036,340
2009,England,London,Metropolitan Police,Speed limit offences,44197,40594
2009,England,London,Metropolitan Police,Neglect of traffic directions,22201,13454
2009,England,East of England,Norfolk,Speed limit offences,16692,11782
2009,England,East of England,Norfolk,Neglect of traffic directions,1025,35
2009,England,East Midlands,Northamptonshire,Speed limit offences,11585,10472
2009,England,East Midlands,Northamptonshire,Neglect of traffic directions,2589,1869
2009,England,North East,Northumbria,Speed limit offences,22345,20419
2009,England,North East,Northumbria,Neglect of traffic directions,2699,695
2009,England,Yorkshire & The Humber,North Yorkshire,Speed limit offences,8425,740
2009,England,Yorkshire & The Humber,North Yorkshire,Neglect of traffic directions,1162,0
2009,England,East Midlands,Nottinghamshire,Speed limit offences,30906,30005
2009,England,East Midlands,Nottinghamshire,Neglect of traffic directions,9451,8043
2009,England,Yorkshire & The Humber,South Yorkshire,Speed limit offences,10526,6978
2009,England,Yorkshire & The Humber,South Yorkshire,Neglect of traffic directions,4617,2160
2009,England,West Midlands,Staffordshire,Speed limit offences,42055,20049
2009,England,West Midlands,Staffordshire,Neglect of traffic directions,1110,236
2009,England,East of England,Suffolk,Speed limit offences,35027,30101
2009,England,East of England,Suffolk,Neglect of traffic directions,1546,0
2009,England,South East,Surrey,Speed limit offences,26401,24943
2009,England,South East,Surrey,Neglect of traffic directions,4447,3573
2009,England,South East,Sussex,Speed limit offences,29710,24489
2009,England,South East,Sussex,Neglect of traffic directions,4041,3027
2009,England,South East,Thames Valley,Speed limit offences,57781,49406
2009,England,South East,Thames Valley,Neglect of traffic directions,1771,976
2009,England,West Midlands,Warwickshire,Speed limit offences,32213,29811
2009,England,West Midlands,Warwickshire,Neglect of traffic directions,1964,1601
2009,England,West Midlands,West Mercia,Speed limit offences,39871,35851
2009,England,West Midlands,West Mercia,Neglect of traffic directions,1742,777
2009,England,West Midlands,West Midlands,Speed limit offences,40789,34309
2009,England,West Midlands,West Midlands,Neglect of traffic directions,11953,7445
2009,England,Yorkshire & The Humber,West Yorkshire,Speed limit offences,23612,15929
2009,England,Yorkshire & The Humber,West Yorkshire,Neglect of traffic directions,7115,3018
2009,England,South West,Wiltshire,Speed limit offences,27345,24647
2009,England,South West,Wiltshire,Neglect of traffic directions,1935,1222
2009,Wales,Wales,Dyfed-Powys,Speed limit offences,10758,8015
2009,Wales,Wales,Dyfed-Powys,Neglect of traffic directions,821,0
2009,Wales,Wales,Gwent,Speed limit offences,14625,14090
2009,Wales,Wales,Gwent,Neglect of traffic directions,1444,706
