Function,Avon & Somerset,Bedfordshire,Cambridgeshire,Cheshire,Cleveland,Cumbria,Derbyshire,Devon & Cornwall,Dorset,Durham,Essex,Gloucestershire,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Norfolk,Northamptonshire,North Yorkshire,Nottinghamshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,Wiltshire,Dyfed-Powys,Gwent,North Wales,South Wales,Greater Manchester,Merseyside,South Yorkshire,Northumbria,West Midlands,West Yorkshire,City of London,Metropolitan
Neighbourhood Policing,281,237,387.13,794.95,220.82,470.9,163.9,553.157,140.4,174,453,358,557.3,218.1773,147.3636364,942.1,563,378.8,241.6,232,228.27,112.2,304.29,258.3,129.3,321.9,357.1,752,89,203.43,117,84.2,701.01,131.00325,217.4,1414,627.7,326.8,584,1592.9,1161.889698,70,3386.2
Incident (response) Management,1166,223,334,0,484.12,164.3,751.7,675.19,532.7,395,1172,238,1199.8,607.8415,562.8383838,723.9,968,663.9,268.7,555,326.83,594,700.86,783.01,409.7,470.5,868.5,1336.6,245,1083.67,357,485.5,0,583.495,1042.8,1538,1047,974.2,1646,1894.3,1020.779756,136,5946.8
Specialist Community Liaison,56,32,0,57.84,41.17,11,65,86.008,12.1,19.8,176,0,94.5,57.9448,29,117.8,96,53.1,15.6,48.4,31.96,15.1,87.25,63.07,23,16.4,32.5,37,2.5,12.88,13,49.1,36.75,36.8625,109.5,167,106.3,69.9,54,214.6,101.878836,12,2429
Local Command Team and Support Overheads,17,7,7,21,16.04,13,13,19.017,10,12,20,11,22,33.8,22,62.6,44.5,23.8,9,9,10,10,41,30.94,11,6,75,39,3.08,23,8,9.6,7,14,28.5,81,37.4,36,34,58.8,46.23090248,3,519
TOTAL LOCAL POLICING,1520,499,728.1,873.8,762.1,659.2,993.6,1333.4,695.2,600.8,1821,607,1873.6,917.7,761.2,1846.4,1671.5,1119.6,534.9,844.4,597.1,731.3,1133.5,1135.3,573,814.8,1333.1,2164.6,339.6,1323,495,628.4,744.8,765.4,1398.2,3200,1818.4,1406.9,2318,3760.6,2330.8,221,12281
Local Call Centres / Front Desk,24,0,0,28.55,0,0,0,0,0,5,9,0,3,0,77.41414141,0,0,0,0,0,0,8,51.37,0,0,0,2,0,0,0,16,0,0,0,0,0,60.1,0,0,359.9,64.89,1,0
Central Communications Unit,23,6,33.74,37.18,28.17,11,21.9,52.27,27.4,56.2,28,25,35,43.268,27.68686869,14.66,3,39.7,8,37,29.51,15,0,33.86,10,17,19.1,40,0,8,4,6.7,32,51.9975,45,129,76,9,69,8.6,21,23,1037
Contact Management Units,0,0,16.69,0,0,0,7.4,0,0,0,55,0,0,4.088,0,0,15,1.8,0,0,1,0,0,4,15,4,0,3,0,0,0,0,0,0,27,50,0,5,0,0,51.98,2,1.1
Dealing with the Public Command Team & Support Overheads,3,2.3,1,0,0,1,2,0.854,1,1,5,2,2,1,3,1,0,4,1,1,0,1,7,2.12,3,10,5,9,0.55,1,1,1,1,2,3.9,4,3,0,5,3,0,0,0
TOTAL DEALING WITH THE PUBLIC,50,8.3,51.4,65.8,28.2,12,31.3,53.2,28.4,62.2,97,27,40,48.4,108.1,15.7,18,45.5,9,38,30.5,24,58.4,40,28,31,26.1,52,0.6,9,21,7.7,33,54,75.9,183,139.1,14,74,371.5,137.9,26,1038.1
