POA category,Avon & Somerset,Bedfordshire,Cambridgeshire,Cheshire,Cleveland,Cumbria,Derbyshire,Devon & Cornwall,Dorset,Durham,Dyfed-Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire,City of London,Metropolitan
TOTAL Local Policing,1473.75,454.4,777.3725,1066.33,749.37,670.5,973.09,1288.87,663.5,594.4,600.65,1535.7,607,3829.1,724.76,1621,982.5735,762.29,1824,1639,1178.8,534.9,1826.49,838.4,784.7325,709.1,675.4,2308,1175.9,1426.5,1475,1024.93,589.5,793.35,1315.18,2181.98,459.71,1198.17,3208.25,2358.3,493,179,12707.7
Neighbourhood Policing,283.02,15,476.1625,637.91,217.08,474.8,161.7,347.53,135,165.1,85.95,739.38,358,2127.3,683.01,567.5,237.3151,146.53,960,544,528.1,241.6,644.9,232,161.99,110.2,254.95,637,281.8,225.8,312.1,229.49,126.5,317.85,350.99,759.69,69.81,179.35,1412.24,1207.3,119,13,2274.6
Incident (response) Management,1134.28,398,281,343.49,479.35,176.1,751.4,844.32,517,401,478.7,691.41,238,1495.3,0,905.2,655.125,567.06,701,984,615.8,268.7,1032.02,560,569.98,567.9,389.01,1593,785.9,1068.1,1059.6,657.69,422,430.1,860.74,1348.29,377.2,986.23,1411.9,1017.4,357,156,7290.1
TOTAL Dealing with the Public,28.75,22.7,33.575,45.76,16.79,11.7,24,63.52,37,53.3,8,85.25,39,112.6,33,40,41.1445,71.17,16,3,38.7,9,152.25,39,33,18,32.01,80,47.2,32.7,15,45.96,39,36.5,18.3,49,3.6,9.09,368.01,126.89,15,25,760.5
Local Call Centres / Front Desk,14.95,0,0,19.58,0,0,0,0,0,7,0,58.46,12,0,0,5,0,59.17,0,0,0,0,9.8,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,297.39,76.89,8,0,2.2
Central Communications Unit,11.8,20,27.5,26.18,16.79,10.7,11,61.29,36,45.3,6,26.79,25,82,32,33,39.1445,11,15,3,32.9,8,74,38,32,7,30.99,76,17.2,17.6,10,25.23,10,34,13.3,40,2.9,7.27,57.02,15,6,25,758.3
TOTAL Criminal Justice Arrangements,80.6,23.6,26,64.44,57.26,35,32,91.69,37.5,58.1,43,97.53,18,161.7,42,94,45.515,41,76,71,53.7,36,202.5,54.6,45.9,46,48.57,78,57.3,213.2,76.4,50.19,43,44.6,155.64,128,23.8,60.86,174.71,75.5,33,13,829.5
Custody,67,20,26,47,52.69,28,30,81.11,27,30,42,97.53,14,123.6,42,89,39.515,26,60,59,41,34,94,50.5,44.9,31,36.38,58,51.3,73.5,64,35.9,42.5,44.6,75,89,19.8,50.87,146.31,68,31,0,407.8
Criminal Justice,9.6,1.3,0,16.44,1,4,0,7.72,7.5,25.1,0,0,0,25,0,5,5,14,12,3,10.7,0,103.5,3.1,1,11,10.16,11,2,137.7,8.4,13.29,0,0,76.64,25,3.6,9.08,23.4,2.01,1,11,409.3
TOTAL Road Policing,102.98,53.5,85.16,103.6,106.5,92,82.68,121.21,48,90,84,47.93,58,271.2,76.5,159,114.725,104.75,114,158,68.1,48,155,107.9,67,91.1,64.18,170,39.7,134.6,120.5,55,42.5,149,146.63,208,38.7,99.02,221.89,247.6,64.25,11,670.6
