POA category,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed-Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Metropolitan Police,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
TOTAL LOCAL POLICING,1655.1935,564,711.5,1287,187.2,697,677.14,1075,1925,757.2,727.8,712,1453.81,623,3544.55,790.5,1851.7,1226.38,1110.89,2118.92,1870,1064.6,688.1,1892.45,15207.3,953,986.89775,812.9,769.5,2084.95,1093.931,1792,1647.66,1055.01,719,1193,1470.1,2448.52,611,1322.8,3393.98,2714.72,635
Neighbourhood Policing,279.99975,198,524.5,198,13.2,173,543.19,139,335,147,163.8,78.6,1179.7,515,568.64,607,394.7,244,89.5,1577.07,317,360.3,85.4,555,4083.6,185,121,117.1,180,536.61,170.2253333,217,1212.8,183.27,91,97,305.2,392.73,67.5,150.3,854.81,635.59,478
Incident (response) Management,1012.99375,238,0,834,129,382,0,639,1104,486.1,382,487.2,0,0,2327.8,0,834,635,815.09,0,1130,352.5,412.8,873.5,6603.2,581,673.999,483,343,1335.685,545.5856667,953,0,640.89,377,905,731.6,781.93,375.7,825.2,1143.46,1328.71,0
Local Investigation/ prisoner processing,311.6,87,173,185,38,102,114.87,242,416,106,157,94,235.11,89,486.43,101,506,288.5,167.05,335,283,310.8,167.9,391,2421.2,140,138.99875,166.9,212.5,154.11,299.2578333,481,362.06,140.01,229,141,379.7,1234.19,119.7,258.3,799.99,482.4,123
Specialist Community Liaison,44.6,27,2,52,2,36,10.71,42,56,10.1,20,42.2,5,12,95.78,70.5,111,42.88,20.25,182.85,104,38,14,66.95,1869.8,35,41.9,37.1,30,39.045,51.82883333,110,54.8,69.04,13,38,44.5,13.67,45.9,84.2,551.72,230.02,28
Local Command Team and Support Overheads,6,14,12,18,5,4,8.37,13,14,8,5,10,34,7,65.9,12,6,16,19,24,36,3,8,6,229.5,12,11,8.8,4,19.5,27.03333333,31,18,21.8,9,12,9.1,26,2.2,4.8,44,38,6
TOTAL DEALING WITH THE PUBLIC,20,11,48.5,24,27,36.5,67.65,15,63,19,30,8,80,28,97.12,32,72,37,54.44,25,60,22.2,14,126,805.4,24,41,24.4,30.5,28.715,61.919,25,12.75,7,10,56.45,38,35,11.8,26.2,140.67,165.14,8
Front Desk,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.083333333,0,0,0,0,0,0,0,0,0,100.79,0,0
Central Communications Unit,19,9,47.5,23,27,36,66.19,12,63,14,26,7,78,26,91.91,25,70,36,47.44,22,60,20.2,13,113,805.4,21,40,23.4,30.5,27.215,53.63566667,23,12.75,7,6,56.45,36,35,11.8,26.2,35.88,165.14,8
Dealing with the Public Command Team & Support Overheads,1,2,1,1,0,0.5,1.46,3,0,5,1,1,2,2,5.21,7,1,1,7,3,0,2,1,13,0,3,1,1,0,1.5,3.2,2,0,0,4,0,2,0,0,0,4,0,0
TOTAL CRIMINAL JUSTICE ARRANGEMENTS,62,23,29,52,12,34.8,38.4,31,87,31.5,39.5,44,69,18,150.41,22,80.5,39,29,49,70,34.8,25,79,559.3,41,42,34.1,40,50.5,48.81833333,130,53.25,45,25,49,80,101,25.1,55.9,133.46,69.99,24
Custodial subtotal,60,22,0,46,2,29,33.1,30,84,27.5,28,41,65,16,116.46,17,78.5,36,22,46,70,29.8,23,60,521.7,39,40,26.3,29,47.5,43.83333333,72,48.25,36,23,49,70,90,24.8,55.2,120.46,64.99,22
Police doctors / nurses & surgeons,60,22,0,46,2,29,33.1,30,84,27.5,28,41,65,16,116.46,17,78.5,36,22,46,70,29.8,23,60,517.9,39,40,26.3,29,47.5,43.83333333,72,48.25,36,23,49,70,90,24.8,55.2,120.46,64.99,22
Custody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criminal Justice,1,1,29,6,10,1,2.9,0,0,3,9.5,3,3,0,26,4,1,1,7,0,0,2,0,16,36.7,1,2,3.9,11,0,0,57,1,4,2,0,8,1,0,0,2,1,0
Other criminal justice arrangements,1,0,0,0,0,4.8,2.4,1,3,1,2,0,1,2,7.95,1,1,2,0,3,0,3,2,3,0.9,1,0,3.9,0,3,4.985,1,4,5,0,0,2,10,0.3,0.7,11,4,2
Police National Computer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Criminal Records Bureau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coroner Assistance,0,0,0,0,0,3.8,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Fixed Penalty Schemes (Central Ticket Office),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0
Property Officer / Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4.935,0,0,0,0,0,0,0,0,0,0,0,0
Criminal Justice Arrangements Command Team & Support Overheads,1,0,0,0,0,1,2.4,1,3,1,1,0,1,2,3.15,0,1,2,0,3,0,1,1,2,0,1,0,3.9,0,3,0.05,1,2,5,0,0,2,5,0.3,0.7,7,2,2
TOTAL ROAD POLICING,87.184,50.66,73,102,27,33,72.84,67.5,65,39,70,83,120,38.85,148.68,55,148,94,57,94,124,44,3,132,689.6,37.5,68,64.4,60,132.42,23.05,134,93.8,51,44.75,94,116,197,36.3,79.7,189.7,160,33
Traffic Units,85.184,50.66,73,101,6,30,70.09,63,62,38,69,79,120,36.85,147.63,52,147,91,49,92,123,43,1,124,679.2,31.5,65,63.4,57,125.42,23,128,92.2,49,35.5,94,111,193,35.3,78.7,187.7,159,33
Traffic Wardens / PCSOs - Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicle Recovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Casualty Reduction Partnership,1,0,0,0,21,3,0.97,3,3,1,1,2,0,2,0,2,1,1,8,1,1,1,1,8,0,4,3,1,3,6,0,5,1,1,8,0,4,4,1,1,2,1,0
Road Policing Command Team and Support Overheads,1,0,0,1,0,0,1.78,1.5,0,0,0,2,0,0,1.05,1,0,2,0,1,0,0,1,0,0,2,0,0,0,1,0.05,1,0.6,1,1.25,0,0,0,0,0,0,0,0
TOTAL OPERATIONAL SUPPORT,222.82,90.54,55,100,125,77,49.45,99.5,296,88,34,75,277,81.79,523.38,80,159,124,100.45,172,199,123.7,74,329,2166.5,92,69,150,61,220.62,122.0166667,213,130.4,124,59.25,72,247.7,203,73.7,160.4,656.53,269.39,68.4
Operational Support Command Team and Support Overheads,1,0,1,1,0,0,0.59,1.5,8,4,0,4,10,3.93,3.26,3,9,2,2,8,10,2,1,7,0,4,2,6.8,6,13.5,6.1,3,3,3,4.25,2,6,4,2.5,5.5,7,15,5
Air Operations,0,0,0,6,0,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,17,0,4,0,3,0,2.416666667,0,5,3,0,0,0,0,3,3,10,0,0
Mounted Police,13,0,0,0,9,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,17,0,0,16,121.5,0,0,0,0,7.62,0,6,8.75,0,0,0,0,8,0,0,0,7,0
Specialist Terrain,9,0,0,3,4,0,0.97,0,7,3,0,0,0,0,3,0,0,0,10,5,0,0,0,2,52.7,0,1,0,0,13,0,6,1,0,0,0,0,0,0,0,0,0,0
Dogs Section,25.82,8,11,20,7,13,12.65,16.5,35,13,14,16,28,12.06,36.88,14,34,12,12,27,18,20,9,41,157.4,17,10,15.4,11,31.5,16.16666667,39,14.5,25,9,16,21,36,10.5,23.5,59,20,13
Advanced Public Order,60,0,0,0,41,0,24.34,21.5,64,3,0,0,49,21,9.98,18,28,54,1,0,63,20.7,15,89,504.8,0,0,59.5,0,2,25.33333333,41,0,28,0,7,10.5,15,13,29,365.7,58.51,3
Airports & Ports Policing Unit,12,11,0,0,0,0,0,0,0,0,0,0,88,0,99,0,0,0,0,39,0,12,0,15,371.1,0,0,0,0,9,0,7,2.9,0,0,0,137.8,0,0,0,30.5,6,0
Firearms Unit,93,68.59,39,57,59,52,4.09,54,169,61,16,55,96,40.8,307.32,41,72,45,69,79,81,60,48,133,865.3,68,45,56.6,38,130,59.91666667,84,85.5,56,44,45,62,125,44.7,99.4,159.33,141,47.4
Civil Contingencies and Events,9,2.95,4,13,5,4,6.81,6,13,4,4,0,6,4,26,4,16,11,6.45,14,10,6,1,26,76.7,3,7,11.7,3,14,12.08333333,27,9.75,9,2,2,10.4,15,0,0,25,21.88,0
TOTAL INTELLIGENCE,102,37.9,90,82,57,74.5,44.01,40.7,127,54,71.9,28.2,138,70,323.32,48,111,66.6,50.95,137.06,82,105,54.6,176,1258.7,31,27,57.7,47,167.585,86.94433333,108,90.3,33,35.25,65,94,259.55,32.5,101.5,337.98,111,25
Intelligence Command Team and Support Overheads,1,3.9,5,3,5,0.5,2.15,2,4,2,2,1,3,2,3.25,0,3,3,0,4,0,5,2,3,0,2,1,1,2,5.5,5.990573333,3,0,2,1.25,0,10,29,1.2,2.8,14,3,0
Intelligence Analysis / Threat Assessments,0,19,41,8,13,29,20.44,38.7,45,18,36,17.7,5.4,27,183.2,15,52,25.6,29.95,54.56,45,34.7,35,77,742.6,18,4,27.4,20,100.195,40.55259667,61,36.5,11,21,22,40,73,0,0,92.18,48.5,15
Intelligence Gathering,101,15,44,71,39,45,21.42,0,78,34,33.9,9.5,129.6,41,136.87,33,56,38,21,78.5,37,65.3,17.6,96,516.1,11,22,29.3,25,61.89,40.40116333,44,53.8,20,13,43,44,157.55,31.3,98.7,231.8,59.5,10
